"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C6GN Double Extra Large","c6gn.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.3456 hourly","$0.2181 hourly","$0.2794 hourly","unavailable","unavailable"
"M6A Double Extra Large","m6a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3456 hourly","$0.2286 hourly","$0.2487 hourly","$0.7136 hourly","$0.5966 hourly"
"R6IN Extra Large","r6in.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","$0.3487 hourly","$0.2197 hourly","$0.1286 hourly","$0.5327 hourly","$0.4037 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","4 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","$0.3500 hourly","$0.2240 hourly","$0.0691 hourly","$0.5980 hourly","$0.4650 hourly"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.3616 hourly","$0.2278 hourly","$0.2754 hourly","unavailable","unavailable"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.3620 hourly","$0.2280 hourly","$0.3032 hourly","unavailable","unavailable"
"C7GD Double Extra Large","c7gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","$0.3629 hourly","$0.2287 hourly","$0.2615 hourly","unavailable","unavailable"
"IM4GN Extra Large","im4gn.xlarge","16.0 GiB","4 vCPUs","1875 GB                 NVMe SSD","Up to 25 Gigabit","$0.3638 hourly","$0.2333 hourly","$0.1495 hourly","unavailable","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   4h 4.8m                   burst","EBS only","Moderate","$0.3712 hourly","$0.2300 hourly","$0.2573 hourly","$0.4332 hourly","$0.2920 hourly"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.3720 hourly","$0.2340 hourly","$0.1512 hourly","$0.5560 hourly","$0.4180 hourly"
"G4AD Extra Large","g4ad.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.3785 hourly","$0.2385 hourly","$0.1512 hourly","$0.5625 hourly","$0.4225 hourly"
"M7I-FLEX Double Extra Large","m7i-flex.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3830 hourly","$0.2534 hourly","$0.2585 hourly","$0.7326 hourly","$0.6030 hourly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","8 vCPUs","200 GB                 NVMe SSD","Up to 10 Gigabit","$0.3840 hourly","$0.2420 hourly","$0.2213 hourly","$0.7520 hourly","$0.6100 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3840 hourly","$0.2420 hourly","$0.1538 hourly","$0.7520 hourly","$0.6100 hourly"
"M6I Double Extra Large","m6i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3840 hourly","$0.2540 hourly","$0.2375 hourly","$0.7520 hourly","$0.6220 hourly"
"R6IDN Extra Large","r6idn.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 30 Gigabit","$0.3908 hourly","$0.2462 hourly","$0.1289 hourly","$0.5748 hourly","$0.4302 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","8 vCPUs","EBS only","High","$0.3980 hourly","$0.2520 hourly","$0.2533 hourly","$0.7660 hourly","$0.6200 hourly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","8 vCPUs","EBS only","High","$0.4000 hourly","$0.2478 hourly","$0.2339 hourly","$0.7680 hourly","$0.6158 hourly"
"C6ID Double Extra Large","c6id.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.4032 hourly","$0.2541 hourly","$0.2555 hourly","$0.7712 hourly","$0.6221 hourly"
"R6G Double Extra Large","r6g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.4032 hourly","$0.2540 hourly","$0.2705 hourly","unavailable","unavailable"
"M7I Double Extra Large","m7i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4032 hourly","$0.2667 hourly","$0.2643 hourly","$0.7712 hourly","$0.6347 hourly"
"A1 Metal","a1.metal","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.4080 hourly","$0.2570 hourly","$0.4080 hourly","unavailable","unavailable"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.4080 hourly","$0.2570 hourly","$0.4080 hourly","unavailable","unavailable"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.4120 hourly","$0.2600 hourly","$0.2598 hourly","$0.7800 hourly","$0.6280 hourly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","$0.4200 hourly","$0.2920 hourly","$0.2595 hourly","$0.7520 hourly","$0.6570 hourly"
"G5G Extra Large","g5g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.4200 hourly","$0.2646 hourly","$0.1520 hourly","unavailable","unavailable"
"M7GD Double Extra Large","m7gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","$0.4271 hourly","$0.2691 hourly","$0.2597 hourly","unavailable","unavailable"
"R7G Double Extra Large","r7g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","$0.4284 hourly","$0.2834 hourly","$0.2781 hourly","unavailable","unavailable"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.4320 hourly","$0.2720 hourly","$0.2547 hourly","$0.8000 hourly","$0.6400 hourly"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","4 vCPUs","2500 GB                 NVMe SSD","Up to 25 Gigabit","$0.4520 hourly","$0.3080 hourly","$0.1356 hourly","$0.6360 hourly","$0.4920 hourly"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.4520 hourly","$0.2850 hourly","$0.2521 hourly","$0.8200 hourly","$0.6530 hourly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.4520 hourly","$0.2850 hourly","$0.2556 hourly","$0.8200 hourly","$0.6530 hourly"
"C6IN Double Extra Large","c6in.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","$0.4536 hourly","$0.2858 hourly","$0.2535 hourly","$0.8216 hourly","$0.6538 hourly"
"R6A Double Extra Large","r6a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4536 hourly","$0.3001 hourly","$0.2569 hourly","$0.8216 hourly","$0.6681 hourly"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.4608 hourly","$0.2903 hourly","$0.2748 hourly","unavailable","unavailable"
"M7A Double Extra Large","m7a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4637 hourly","$0.3067 hourly","$0.2568 hourly","$0.8317 hourly","$0.6747 hourly"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","8 vCPUs","2000 GB                 HDD","Up to 10 Gigabit","$0.4680 hourly","$0.3180 hourly","$0.3053 hourly","$0.8360 hourly","$0.6860 hourly"
"M6ID Double Extra Large","m6id.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.4746 hourly","$0.2990 hourly","$0.2540 hourly","$0.8426 hourly","$0.6670 hourly"
"M5N Double Extra Large","m5n.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.4760 hourly","$0.3000 hourly","$0.2581 hourly","$0.8440 hourly","$0.6680 hourly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","4 vCPUs","850 GB                 HDD","Moderate","$0.4900 hourly","$0.2220 hourly","$0.1462 hourly","$0.6900 hourly","$0.4960 hourly"
"D3 Extra Large","d3.xlarge","32.0 GiB","4 vCPUs","5940 GB                 (3 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$0.4990 hourly","$0.3150 hourly","$0.1517 hourly","$0.6830 hourly","$0.4990 hourly"
"C7GN Double Extra Large","c7gn.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 50 Gigabit","$0.4992 hourly","$0.3145 hourly","$0.2802 hourly","unavailable","unavailable"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5040 hourly","$0.3180 hourly","$0.1425 hourly","$0.8720 hourly","$0.6860 hourly"
"R6I Double Extra Large","r6i.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.5040 hourly","$0.3334 hourly","$0.2484 hourly","$0.8720 hourly","$0.7014 hourly"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","8 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","$0.5200 hourly","$0.3640 hourly","$0.0737 hourly","$0.8400 hourly","$0.7190 hourly"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.5240 hourly","$0.3300 hourly","$0.2582 hourly","$0.8920 hourly","$0.6980 hourly"
"D3EN Extra Large","d3en.xlarge","16.0 GiB","4 vCPUs","27960 GB                 (2 * 13980 GB NVMe HDD)","Up to 25 Gigabit","$0.5260 hourly","$0.3310 hourly","$0.1578 hourly","$0.7100 hourly","$0.5150 hourly"
"G4DN Extra Large","g4dn.xlarge","16.0 GiB","4 vCPUs","125 GB                 NVMe SSD","Up to 25 Gigabit","$0.5260 hourly","$0.3310 hourly","$0.1578 hourly","$0.7100 hourly","$0.5150 hourly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","$0.5320 hourly","$0.3800 hourly","$0.2596 hourly","$1.0360 hourly","$0.7930 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5320 hourly","$0.3360 hourly","$0.2438 hourly","$0.9000 hourly","$0.7040 hourly"
"G4AD Double Extra Large","g4ad.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.5412 hourly","$0.3409 hourly","$0.3005 hourly","$0.9092 hourly","$0.7089 hourly"
"C6G Quadruple Extra Large","c6g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.5440 hourly","$0.3427 hourly","$0.2721 hourly","unavailable","unavailable"
"M5DN Double Extra Large","m5dn.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 25 Gigabit","$0.5440 hourly","$0.3430 hourly","$0.2582 hourly","$0.9120 hourly","$0.7110 hourly"
"R7GD Double Extra Large","r7gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","$0.5443 hourly","$0.3421 hourly","$0.2568 hourly","unavailable","unavailable"
"G5G Double Extra Large","g5g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5560 hourly","$0.3503 hourly","$0.3033 hourly","unavailable","unavailable"
"M6IN Double Extra Large","m6in.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","$0.5569 hourly","$0.3509 hourly","$0.2580 hourly","$0.9249 hourly","$0.7189 hourly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.5760 hourly","$0.3630 hourly","$0.2564 hourly","$0.9440 hourly","$0.7310 hourly"
"IS4GEN Extra Large","is4gen.xlarge","24.0 GiB","4 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","$0.5763 hourly","$0.3931 hourly","$0.1729 hourly","unavailable","unavailable"
"C7G Quadruple Extra Large","c7g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","$0.5800 hourly","$0.3822 hourly","$0.5292 hourly","unavailable","unavailable"
"R5N Double Extra Large","r5n.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.5960 hourly","$0.3750 hourly","$0.2567 hourly","$0.9640 hourly","$0.7430 hourly"
"R5B Double Extra Large","r5b.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5960 hourly","$0.3755 hourly","$0.2600 hourly","$0.9640 hourly","$0.7435 hourly"
"R6ID Double Extra Large","r6id.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.6048 hourly","$0.3801 hourly","$0.2578 hourly","$0.9728 hourly","$0.7481 hourly"
"C6A Quadruple Extra Large","c6a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.6120 hourly","$0.4048 hourly","$0.3421 hourly","$1.3480 hourly","$1.1408 hourly"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.6144 hourly","$0.3871 hourly","$0.5164 hourly","unavailable","unavailable"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.6160 hourly","$0.3880 hourly","$0.4944 hourly","$1.3520 hourly","$1.1240 hourly"
"M6G Quadruple Extra Large","m6g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.6160 hourly","$0.3864 hourly","$0.2857 hourly","unavailable","unavailable"
"I4G Double Extra Large","i4g.2xlarge","64.0 GiB","8 vCPUs","1875 GB                 NVMe SSD","Up to 12 Gigabit","$0.6178 hourly","$0.4009 hourly","$0.2582 hourly","unavailable","unavailable"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","8 vCPUs","1900 GB                 NVMe SSD","Up to 10 Gigabit","$0.6240 hourly","$0.4280 hourly","$0.2004 hourly","$0.9920 hourly","$0.7960 hourly"
"M6IDN Double Extra Large","m6idn.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 40 Gigabit","$0.6365 hourly","$0.4010 hourly","$0.2591 hourly","$1.0045 hourly","$0.7690 hourly"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","8 vCPUs","60 GB                 SSD","Moderate","$0.6500 hourly","unavailable","$0.3061 hourly","$0.7670 hourly","unavailable"
"VT1 3xlarge","vt1.3xlarge","24.0 GiB","12 vCPUs","EBS only","3.12 Gigabit","$0.6500 hourly","$0.4095 hourly","$0.4400 hourly","unavailable","unavailable"
"M7G Quadruple Extra Large","m7g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","$0.6528 hourly","$0.4318 hourly","$0.5391 hourly","unavailable","unavailable"
"M5ZN Double Extra Large","m5zn.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.6607 hourly","$0.4162 hourly","$0.2600 hourly","$1.0287 hourly","$0.7842 hourly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","8 vCPUs","160 GB                 SSD","High","$0.6650 hourly","$0.4180 hourly","$0.2536 hourly","$1.0450 hourly","$0.8240 hourly"
"X2GD Double Extra Large","x2gd.2xlarge","128.0 GiB","8 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","$0.6680 hourly","$0.4117 hourly","$0.3049 hourly","unavailable","unavailable"
"R5DN Double Extra Large","r5dn.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 25 Gigabit","$0.6680 hourly","$0.4210 hourly","$0.2595 hourly","$1.0360 hourly","$0.7890 hourly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.6800 hourly","$0.4280 hourly","$0.2591 hourly","$1.4160 hourly","$1.1640 hourly"
"C6I Quadruple Extra Large","c6i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.6800 hourly","$0.4498 hourly","$0.4651 hourly","$1.4160 hourly","$1.1858 hourly"
"I4I Double Extra Large","i4i.2xlarge","64.0 GiB","8 vCPUs","1875 GB                 NVMe SSD","Up to 12 Gigabit","$0.6860 hourly","$0.4450 hourly","$0.2327 hourly","$1.0540 hourly","$0.8130 hourly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.6880 hourly","$0.4330 hourly","$0.5080 hourly","$1.4240 hourly","$1.1690 hourly"
"C5AD Quadruple Extra Large","c5ad.4xlarge","32.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.6880 hourly","$0.4330 hourly","$0.4918 hourly","$1.4240 hourly","$1.1690 hourly"
"D2 Extra Large","d2.xlarge","30.5 GiB","4 vCPUs","6144 GB                 (3 * 2048 GB HDD)","Moderate","$0.6900 hourly","$0.4020 hourly","$0.2070 hourly","$0.8210 hourly","$0.4720 hourly"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.6912 hourly","$0.4572 hourly","$0.5001 hourly","$1.4272 hourly","$1.1932 hourly"
"C6GN Quadruple Extra Large","c6gn.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$0.6912 hourly","$0.4363 hourly","$0.5608 hourly","unavailable","unavailable"
"R6IN Double Extra Large","r6in.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","$0.6973 hourly","$0.4393 hourly","$0.2639 hourly","$1.0653 hourly","$0.8073 hourly"
"M6GD Quadruple Extra Large","m6gd.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.7232 hourly","$0.4556 hourly","$0.5412 hourly","unavailable","unavailable"
"C7GD Quadruple Extra Large","c7gd.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","$0.7258 hourly","$0.4574 hourly","$0.5142 hourly","unavailable","unavailable"
"IM4GN Double Extra Large","im4gn.2xlarge","32.0 GiB","8 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","$0.7276 hourly","$0.4666 hourly","$0.2553 hourly","unavailable","unavailable"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.7440 hourly","$0.4690 hourly","$0.3031 hourly","$1.1120 hourly","$0.8370 hourly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.7500 hourly","$0.5510 hourly","$0.2250 hourly","$0.9340 hourly","$0.7350 hourly"
"G4DN Double Extra Large","g4dn.2xlarge","32.0 GiB","8 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","$0.7520 hourly","$0.4740 hourly","$0.2953 hourly","$1.1200 hourly","$0.8420 hourly"
"INF2 Extra Large","inf2.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 15 Gigabit","$0.7582 hourly","$0.4777 hourly","$0.2275 hourly","unavailable","unavailable"
"M7I-FLEX Quadruple Extra Large","m7i-flex.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.7661 hourly","$0.5067 hourly","$0.5189 hourly","$1.4653 hourly","$1.2059 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.7680 hourly","$0.4840 hourly","$0.4400 hourly","$1.5040 hourly","$1.2200 hourly"
"M6I Quadruple Extra Large","m6i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.7680 hourly","$0.5080 hourly","$0.4696 hourly","$1.5040 hourly","$1.2440 hourly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","16 vCPUs","400 GB                 NVMe SSD","Up to 10 Gigabit","$0.7680 hourly","$0.4840 hourly","$0.3412 hourly","$1.5040 hourly","$1.2200 hourly"
"R6IDN Double Extra Large","r6idn.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 40 Gigabit","$0.7816 hourly","$0.4924 hourly","$0.2585 hourly","$1.1496 hourly","$0.8604 hourly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","16 vCPUs","EBS only","High","$0.7960 hourly","$0.5040 hourly","$0.4918 hourly","$1.5320 hourly","$1.2400 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","16 vCPUs","EBS only","High","$0.8000 hourly","$0.4956 hourly","$0.4858 hourly","$1.5360 hourly","$1.2316 hourly"
"C6ID Quadruple Extra Large","c6id.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.8064 hourly","$0.5082 hourly","$0.5135 hourly","$1.5424 hourly","$1.2442 hourly"
"M7I Quadruple Extra Large","m7i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.8064 hourly","$0.5334 hourly","$0.5204 hourly","$1.5424 hourly","$1.2694 hourly"
"R6G Quadruple Extra Large","r6g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.8064 hourly","$0.5080 hourly","$0.3600 hourly","unavailable","unavailable"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.8240 hourly","$0.5190 hourly","$0.5136 hourly","$1.5600 hourly","$1.2550 hourly"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.8280 hourly","$0.5216 hourly","$0.6070 hourly","unavailable","unavailable"
"X2IEDN Extra Large","x2iedn.xlarge","128.0 GiB","4 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","$0.8336 hourly","$0.5129 hourly","$0.2501 hourly","$1.0176 hourly","$0.6969 hourly"
"X1E Extra Large","x1e.xlarge","122.0 GiB","4 vCPUs","120 GB                 SSD","Up to 10 Gigabit","$0.8340 hourly","$0.5140 hourly","$0.2502 hourly","$1.0180 hourly","$0.6980 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","320 GB                 (2 * 160 GB SSD)","High","$0.8400 hourly","$0.5840 hourly","$0.5201 hourly","$1.5040 hourly","$1.3170 hourly"
"I2 Extra Large","i2.xlarge","30.5 GiB","4 vCPUs","800 GB                 SSD","Moderate","$0.8530 hourly","$0.4240 hourly","$0.2559 hourly","$0.9730 hourly","$0.5650 hourly"
"M7GD Quadruple Extra Large","m7gd.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","$0.8543 hourly","$0.5382 hourly","$0.5164 hourly","unavailable","unavailable"
"R7G Quadruple Extra Large","r7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","$0.8568 hourly","$0.5668 hourly","$0.5598 hourly","unavailable","unavailable"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$0.8640 hourly","$0.5440 hourly","$0.5136 hourly","$1.6000 hourly","$1.2800 hourly"
"G4AD Quadruple Extra Large","g4ad.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 10 Gigabit","$0.8670 hourly","$0.5462 hourly","$0.5651 hourly","$1.6030 hourly","$1.2822 hourly"
"P2 General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","4 vCPUs","EBS only","High","$0.9000 hourly","$0.6140 hourly","$0.2700 hourly","$1.0840 hourly","$0.7980 hourly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","5000 GB                 (2 * 2500 GB NVMe SSD)","Up to 25 Gigabit","$0.9040 hourly","$0.6160 hourly","$0.2712 hourly","$1.2720 hourly","$0.9840 hourly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.9040 hourly","$0.5700 hourly","$0.4846 hourly","$1.6400 hourly","$1.3060 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.9040 hourly","$0.5700 hourly","$0.4779 hourly","$1.6400 hourly","$1.3060 hourly"
"R6A Quadruple Extra Large","r6a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.9072 hourly","$0.6001 hourly","$0.5081 hourly","$1.6432 hourly","$1.3361 hourly"
"C6IN Quadruple Extra Large","c6in.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","$0.9072 hourly","$0.5715 hourly","$0.5091 hourly","$1.6432 hourly","$1.3075 hourly"
"R6GD Quadruple Extra Large","r6gd.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.9216 hourly","$0.5806 hourly","$0.5266 hourly","unavailable","unavailable"
"M7A Quadruple Extra Large","m7a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.9274 hourly","$0.6135 hourly","$0.5144 hourly","$1.6634 hourly","$1.3495 hourly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","16 vCPUs","4000 GB                 (2 * 2000 GB HDD)","Up to 10 Gigabit","$0.9360 hourly","$0.6360 hourly","$0.6107 hourly","$1.6720 hourly","$1.3720 hourly"
"M6ID Quadruple Extra Large","m6id.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.9492 hourly","$0.5980 hourly","$0.5121 hourly","$1.6852 hourly","$1.3340 hourly"
"M5N Quadruple Extra Large","m5n.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$0.9520 hourly","$0.6000 hourly","$0.5072 hourly","$1.6880 hourly","$1.3360 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","8 vCPUs","1680 GB                 (2 * 840 GB HDD)","High","$0.9800 hourly","$0.4440 hourly","$0.1108 hourly","$1.3800 hourly","$0.9910 hourly"
"M5ZN 3xlarge","m5zn.3xlarge","48.0 GiB","12 vCPUs","EBS only","Up to 25 Gigabit","$0.9910 hourly","$0.6243 hourly","$0.3922 hourly","$1.5430 hourly","$1.1763 hourly"
"C7GN Quadruple Extra Large","c7gn.4xlarge","32.0 GiB","16 vCPUs","EBS only","50 Gigabit","$0.9984 hourly","$0.6290 hourly","$0.5613 hourly","unavailable","unavailable"
